Region,Indicator,Measure type,Indicator segment,Segment value,Time scale,Time frame,Metric,Main metric,Metric value,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Refresh date
Vancouver Coastal Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2020/2021,CSHS,Yes,"10,029",Dollars,,,2026-05-19
Vancouver Coastal Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2021/2022,CSHS,Yes,"8,736",Dollars,,,2026-05-19
Vancouver Coastal Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2022/2023,CSHS,Yes,"9,290",Dollars,,,2026-05-19
Vancouver Coastal Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2023/2024,CSHS,Yes,"10,607",Dollars,,,2026-05-19
Vancouver Coastal Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2024/2025,CSHS,Yes,"13,154",Dollars,,,2026-05-19
Interior Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2020/2021,CSHS,Yes,"8,689",Dollars,,,2026-05-19
Interior Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2021/2022,CSHS,Yes,"8,266",Dollars,,,2026-05-19
Interior Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2022/2023,CSHS,Yes,"9,157",Dollars,,,2026-05-19
Interior Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2023/2024,CSHS,Yes,"10,641",Dollars,,,2026-05-19
Interior Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2024/2025,CSHS,Yes,"11,315",Dollars,,,2026-05-19
Island Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2020/2021,CSHS,Yes,"8,088",Dollars,,,2026-05-19
Island Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2021/2022,CSHS,Yes,"8,444",Dollars,,,2026-05-19
Island Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2022/2023,CSHS,Yes,"8,966",Dollars,,,2026-05-19
Island Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2023/2024,CSHS,Yes,"10,052",Dollars,,,2026-05-19
Island Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2024/2025,CSHS,Yes,"10,265",Dollars,,,2026-05-19
Northern Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2020/2021,CSHS,Yes,"9,059",Dollars,,,2026-05-19
Northern Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2021/2022,CSHS,Yes,"8,519",Dollars,,,2026-05-19
Northern Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2022/2023,CSHS,Yes,"9,255",Dollars,,,2026-05-19
Northern Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2023/2024,CSHS,Yes,"10,801",Dollars,,,2026-05-19
Northern Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2024/2025,CSHS,Yes,"13,055",Dollars,,,2026-05-19
